closing_date,days_left,fit_tier,title,buyer,category,portal,tender_id,value,emd,source_type,url,fit_note
2026-09-15,1,Large,"Design, development, O&M of Labour Cess Tracking & Monitoring System","Karnataka BOCW Welfare Board, Bengaluru",e-Governance app,Karnataka eProc (via Tender247),KBOCWWB/2026-27/SE0157/CALL-2,₹15.05 Cr,,aggregator,https://www.tender247.com/tender-details/103831957,Closes tomorrow; large
2026-09-15,1,Partner,"EOI: agency for design, development, hosting and O&M of BSSY Digital Platform (solid waste)","Municipal Corporation of Greater Mumbai, SWM Dept",e-Governance platform,MH mahatenders,2026_MCGM_1331996_1,NA,nil,official,https://mahatenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,"EOI stage, zero cost to respond; closes tomorrow"
2026-09-15,1,Partner,EOI: implementation partner for Election Management System for northern states,Kerala State Electronics Dev Corp (Keltron),Partner EOI,KL etenders.kerala,2026_KSEDC_868418_1,nil,₹100,official,https://etenders.kerala.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Near-zero cost to respond; closes tomorrow
2026-09-15,1,Partner,EOI: implementation partner for Smart Classroom and IT equipment supplies project,KSEDC (Keltron),Partner EOI,KL etenders.kerala,2026_KSEDC_868465_1,nil,₹100,official,https://etenders.kerala.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Near-zero cost; closes tomorrow
2026-09-15,1,Partner,HRMS solution (Zoho) with cloud hosting,New Delhi buyer,SaaS implementation,lead via Tender247,not located,₹41.81 L,₹84 k,aggregator,https://www.tender247.com,Zoho partner play; closes tomorrow
2026-09-15,1,Starter,ICMS integrated cloud-based ERP software plus AMC,"SGGS Institute of Engg & Tech, Nanded (DTE Maharashtra)",Campus ERP,MH mahatenders,2026_DTEDM_1331382_1,NA,₹3.5 L,official,https://mahatenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Good fit with an education ERP base; closes tomorrow
2026-09-15,1,Mid,RFP: AI-powered voice bot for CM Helpline 181 and MP eSEVA portal,MPSEDC,Conversational AI,MP mptenders,2026_SEDC_523761_1 (MPSEDC/COE/2026/703),NA,₹1 L,official,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Check experience clauses; closes tomorrow
2026-09-15,1,Mid,"RFP: rate contract for maintenance of IT-related items and services, NHM MP (3 yrs)",NHM Madhya Pradesh,IT rate contract,MP mptenders,2026_DHS_527959_1,NA,₹3 L,official,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,State-wide RC; check turnover; closes tomorrow
2026-09-15,1,Mid,Subscription of low-code platform (Mendix) for software development,Petroleum & natural gas dept (name login-gated),Software licensing,Offline (via TenderDetail),TenderDetail #57423150,not shown,,aggregator,https://www.tenderdetail.com/Indian-Tenders/TenderNotice/57423150/83a3b8e605b9250a8ebc1c33c45997a8,Reseller play; closes tomorrow
2026-09-15,1,Large,Web and mobile application security audit,NTPC (Noida),Security audit,lead via govttenders,not located,n/s,,aggregator,https://www.govttenders.co.in,CERT-In likely
2026-09-16,2,Mid,Application development and integration,HPCL Mumbai,Software dev,lead via govttenders,not located,n/s,,aggregator,https://www.govttenders.co.in,Verify on HPCL e-tender
2026-09-16,2,Starter,"CAMC for PCs, servers, printers, switches and LAN at KSTPS Kota",RRVUNL (Rajasthan power PSU),IT AMC,RJ eproc.rajasthan,2026_RRVUN_589520_1 (TN-5581),₹8.14 L,"₹16,281",official,https://eproc.rajasthan.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Two days left
2026-09-16,2,Starter,Customised software development for municipality,"Govt dept, Medinipur East (WB)",Custom software,WB Tenders (via TenderDetail),TenderDetail #57249437,not shown,,aggregator,https://www.tenderdetail.com/Indian-tender/software-tenders,Small municipal; good starter if reachable
2026-09-16,2,Partner,"Drone survey, enterprise GIS mapping, Web-GIS platform and mobile apps, MC Panipat",Urban Local Bodies Haryana / MC Panipat,Web-GIS plus apps,HR etenders.hry,2026_HRY_546232_1,n/s,₹2 L,official,https://etenders.hry.nic.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Needs drone partner; two days left
2026-09-16,2,Mid,Hiring of Agency for IT Projects (milestone basis),"DG (NS&M), DRDO",Software dev,GeM,GEM/2026/B/7820436,n/s,,official,https://eprocure.gov.in/cppp/gemtender,Check turnover clause in ATC
2026-09-16,2,Mid,Hiring of Agency for IT Projects (milestone basis),Punjab & Sind Bank,Software dev,GeM,GEM/2026/B/7936763,n/s,,official,https://eprocure.gov.in/cppp/gemtender,PSB; BFSI experience usually asked
2026-09-16,2,Mid,"Online Application and Registration System, Recruitment Process Management and pre-exam activities for MRB",TN Medical Services Corp (MRB),Recruitment portal,TN tntenders,2026_TNMSC_702345_1,NA,"₹50,000",official,https://tntenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Needs exam-ops capability
2026-09-16,2,Mid,RFP: web-based online accounting software for MP State Co-op Marketing Federation (2nd call),MPSEDC,Software dev,MP mptenders,2026_SEDC_533682_1 (MPSEDC/MKT/2026/707),NA,₹1.5 L,official,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Second call means fewer bidders; two days left
2026-09-16,2,Mid,RFQ: integrated IT-infrastructure management platform (SaaS),"MAHAPREIT (Social Justice Dept, Maharashtra)",SaaS platform,MH mahatenders,2026_SJASA_1334308_1,NA,"₹50,000",official,https://mahatenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Limited RFQ; check if open to all
2026-09-16,2,Starter,Renewal of biometric attendance software,Ministry of Railways,Software,IREPS via CPPP,107180782 / 69265288,n/s,,official,https://www.ireps.gov.in,Tiny renewal
2026-09-17,3,Mid,Custom bid: Bharat Cryptographic Operations Research Environment,"DRDO, New Delhi",Security/Crypto software,GeM (via Tender247),GEM/2026/B/7874402,₹4.72 Cr,,aggregator,https://www.tender247.com/tender-details/103771418,Niche; closes in 3 days
2026-09-17,3,Partner,"EOI: business associate for software development, customisation and maintenance for NHM Maharashtra",ITI Limited,Software dev,CPPP,ITI/MSP-C/EOI-022/2026-27/3603,~₹3 Cr (agg),,official,https://eprocure.gov.in/cppp,"PSU-partner model: PSU carries eligibility, you deliver"
2026-09-17,3,Partner,"Empanelment of start-up companies: solution design, app/website dev, data processing, IT/ITES, scanning",Uptron Powertronics Ltd (UP Govt PSU),Startup empanelment,lead via Tendershark/Tender18,not located (see Tender18),n/s,"fee ₹5,900; 730-day empanelment",aggregator,https://www.tender18.com,Made for startups; strong fit
2026-09-17,3,Mid,"GIS implementation agency: survey, software development and master planning","Finance Department, West Bengal",GIS,GeM (via Tender247),GEM/2026/B/7959613,₹4.61 Cr,₹9 L,aggregator,https://www.tender247.com/tender-details/103845105,Closes in 3 days
2026-09-17,3,Mid,Hiring of Agency for IT Projects (milestone basis),Punjab National Bank,Software dev,GeM,GEM/2026/B/7940745,n/s,,official,https://eprocure.gov.in/cppp/gemtender,PSB; BFSI experience usually asked
2026-09-17,3,Mid,Hiring of Agency for IT Projects (milestone basis),Union Bank of India,Software dev,GeM,GEM/2026/B/7919630,n/s,,official,https://eprocure.gov.in/cppp/gemtender,PSB; BFSI experience usually asked
2026-09-17,3,Large,Hosting of SAP ERP on Government Community Cloud at DC and DR,HPGCL (Haryana),Cloud/SAP,HR etenders.hry,2026_HBC_537170_1,NA,₹10 L,official,https://etenders.hry.nic.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Large; MeitY-empanelled CSP expected
2026-09-17,3,Partner,Procurement of cloud services from MeitY-empanelled CSPs,Kerala SRTC,Cloud,KL etenders.kerala,2026_KSRTC_865917_1,nil shown,₹1 L,official,https://etenders.kerala.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Only MeitY-empanelled CSPs or partners; large barrier
2026-09-18,4,Starter,Annual maintenance of Project Monitoring System software incl. cloud infra and hosting,"TWAD Board, Chennai",App AMC plus hosting,TN tntenders,2026_TWAD_700340_1,₹80.69 L,"₹50,000",official,https://tntenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,"Incumbent advantage likely, but open"
2026-09-18,4,Starter,Development of all modules for the existing Billing Portal,Shreetron India Ltd (UP PSU),Software dev,UP etender.up,2026_UPSIL_1182699_1 (SIL/SW/2026-27/17),NA,"nil (fee ₹2,360)",official,https://etender.up.nic.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,"Pure software dev, no EMD; strong fit"
2026-09-18,4,Partner,"Empanelment of agencies for software development, customisation and maintenance for NHM Maharashtra","Directorate of Health Services, Mumbai",Empanelment,MH mahatenders,2026_DHS_1332795_1 (NHM/MH/IT-EMP/2026-27/001),NA,"nil (fee ₹25,000)",official,https://mahatenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Top pick: no EMD; read RFP for eligibility tiers
2026-09-18,4,Mid,Hiring of Agency for IT Projects (milestone basis),Buyer not shown in listing,Software dev,GeM,GEM/2026/B/7878291,n/s,,official,https://eprocure.gov.in/cppp/gemtender,Open bid doc for buyer and scope
2026-09-18,4,Large,Hiring of agency for IT projects: Integrated Data & Enterprise Analytics (IDEA) platform (corrigendum),"Grid Controller of India Ltd, New Delhi",Data/Analytics,GeM (via Tender247),GEM/2026/B/7654013,₹67.44 Cr,₹1.35 Cr,aggregator,https://www.tender247.com/tender-details/102338128,Large SI scale; only as sub-contractor
2026-09-18,4,Large,MIS-ERP system mobile application (UDAN scheme),Airports Authority of India,Mobile/ERP,lead via Tender247,not located,n/s,₹35 L,aggregator,https://www.tender247.com,EMD implies large value
2026-09-18,4,Large,"Process control system incl. software development, CPP units 2 & 3","Heavy Water Board, Manuguru",Industrial software,CPPP (via Tender247),2026_HWB_918237_1,₹16.30 Cr,,aggregator,https://www.tender247.com/tender-details/102587020,Hardware-heavy; poor fit
2026-09-18,4,Starter,Provisioning and operation of cloud-based application server with expert manpower,"Purvanchal Vidyut Vitran Nigam Ltd, Varanasi",Cloud managed service,UP etender.up,2026_PVVNV_1182409_1 (EAV-57/2026-27),NA,"₹47,337",official,https://etender.up.nic.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,"Small cloud plus managed services, one year; good fit"
2026-09-18,4,Large,Standards & Labeling (S&L) portal design and development,BEE (New Delhi),Portal,lead via Tender247,not located,n/s,₹23.84 L,aggregator,https://www.tender247.com,EMD implies large value
2026-09-18,4,Starter,Web-based Computer Based Test (CBT) system for recruitment,South Central Railway,Web app,IREPS via CPPP,107182469 / LT265988A,n/s,,official,https://www.ireps.gov.in,Small bespoke exam platform; IREPS registration needed
2026-09-19,5,Partner,"EOI: SI/backend partner for integrated video-conferencing solution with IFPDs, Govt of Gujarat",ITI Limited,AV/IT SI,CPPP,ITI/MSP/GUJ/VIDEO/2026/222/3607,n/s,,official,https://eprocure.gov.in/cppp,PSU-partner; hardware heavy
2026-09-19,5,Starter,Revamp of NATRAX website plus AR/VR app,NATRAX / Dept of Heavy Industry,Website/AR-VR,lead via Tender247/Tender18,not located,₹11.5 L,₹23 k,aggregator,https://www.tender247.com/tenders/software-development-tenders,Tiny; strong starter
2026-09-19,5,Partner,"Site survey, maps and digital record generation for leased properties",Warora Municipal Council (DMA),Survey/digitisation,MH mahatenders,2026_DMA_1337589_1,NA,"₹15,000",official,https://mahatenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Tiny; needs survey partner
2026-09-19,5,Large,VAPT: web application security audit (OWASP),C-DAC Guwahati,Cyber,GeM (C-DAC),GEM/2026/B/7997760,n/s,,official,https://www.cdac.in/index.aspx?id=tenders,Needs CERT-In empanelled auditor
2026-09-19,5,Starter,"VR application for high-pressure air compressor (3D modelling, VR workstation)",Indian Navy,AR/VR,GeM,GEM/2026/B/7899427,n/s,,official,https://eprocure.gov.in/cppp/gemtender,Small niche dev plus hardware
2026-09-21,7,Starter,Comprehensive AMC of CSIR-AMPRI website and onsite support (plus cPanel AMC 2026_CSIR_290650_1),CSIR-AMPRI Bhopal,Web AMC,etenders.gov.in,2026_CSIR_290667_1,n/s,,official,https://etenders.gov.in/eprocure/app,Tiny; ideal starter
2026-09-21,7,Large,"Consulting firm for state-wide emission inventory, database and data portal (UPCAMP, 60 months)","Department of Environment, Lucknow (UP)",Data portal/Consulting,GeM (via Tender247),GEM/2026/B/7927511,₹27.45 Cr,,aggregator,https://www.tender247.com/tender-details/103608270,Large; consortium only
2026-09-21,7,Starter,Custom bid: 44 skilled data-entry operators for CMM and RailMadad portal,North East Frontier Railway,IT manpower,GeM,GEM/2026/B/7977239,n/s,,official,https://eprocure.gov.in/cppp/gemtender,"Manpower model; easy entry, thin margin"
2026-09-21,7,Starter,"Development of new recruitment website, C-DAC data migration, NIC cloud hosting",Indian Coast Guard,Website,GeM (lead via Tender247/Tender18),not located,₹90 L,₹1.8 L,aggregator,https://www.tender247.com/tenders/software-development-tenders,Good fit; verify bid number on GeM
2026-09-21,7,Mid,"EDR, endpoint encryption and DLP for Haryana State Data Centre",HARTRON,Security product resale,HR etenders.hry,2026_HBC_545133_1,NA,₹1.9 L,official,https://etenders.hry.nic.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,OEM authorisation needed
2026-09-21,7,Partner,EOI: backend implementation partner for Odisha Local Election Management System (OLEMS),TCIL,e-Governance,etenders.gov.in,2026_TCIL_290493_1,n/s,,official,https://etenders.gov.in/eprocure/app,PSU-partner model
2026-09-21,7,Partner,"EOI: business associate to develop website, mobile app and support infra, tourism (DBFOT)",ITI Limited,Web+mobile,CPPP,ITI/MSP-C/EOI-023/2026-27/3604,~₹5 Cr (agg),₹10 L (agg),official,https://eprocure.gov.in/cppp,PSU-partner model
2026-09-21,7,Mid,Hiring of Agency for IT Projects (milestone basis),Union Bank of India,Software dev,GeM,GEM/2026/B/7944114,n/s,,official,https://eprocure.gov.in/cppp/gemtender,Second UBI IT project
2026-09-21,7,Mid,Hiring of Agency for IT Projects (milestone basis),Buyer not shown in listing,Software dev,GeM,GEM/2026/B/7931180,n/s,,official,https://eprocure.gov.in/cppp/gemtender,Open bid doc for scope
2026-09-21,7,Starter,"Hiring of Consultants: technology, management, functional, business analyst, SME",Buyer not shown,IT consulting,GeM,GEM/2026/B/7956459,n/s,,official,https://eprocure.gov.in/cppp/gemtender,Consultant-supply style; low entry barrier
2026-09-21,7,Mid,Hiring of professionals for application development and maintenance,New Delhi buyer,IT manpower,lead via Tender247,not located,₹2.33 Cr,₹3 L,aggregator,https://www.tender247.com,Mid-size
2026-09-21,7,Partner,IT Infrastructure Management System (ITIMS) software,NHPC Ltd,IT ops software,GeM,GEM/2026/B/7891687,n/s,,official,https://eprocure.gov.in/cppp/gemtender,Partner with an ITSM OEM
2026-09-21,7,Mid,RFP: online applications portal with grievance redressal plus hosting of IBPS website,IBPS,Portal,ibps.in,see ibps.in tenders,n/s,₹3 L,aggregator,https://www.ibps.in,Pre-bid replies dated 17-Sep on ibps.in
2026-09-21,7,Starter,"Revamp, redesign and development of GGSIPU website","GGSIPU, Delhi",Website,lead via Tender247,not located,₹25 L,₹1.25 L,aggregator,https://www.tender247.com/tenders/software-development-tenders,Small; strong starter
2026-09-21,7,Partner,Selection of MeitY-empanelled CSP and MSP,BSNL Maharashtra,Cloud,etenders.gov.in,2026_BSNL_290663_1,n/s,,official,https://etenders.gov.in/eprocure/app,MeitY empanelment mandatory
2026-09-21,7,Starter,"Supply, installation and configuration of Industry 4.0 compatible software",MIDHANI (Defence Production),Automation / MES,GeM,GEM/2026/B/8022870,n/s,,official,https://eprocure.gov.in/cppp/gemtender,Good for an IIoT/MES-capable firm
2026-09-21,7,Starter,"Survey, digitisation, GIS asset mapping, software and O&M for municipal assets",Khamgaon Municipal Council (DMA Buldhana),GIS plus software,MH mahatenders,2026_DMA_1337729_1,nil,"₹25,000",official,https://mahatenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Ideal small-firm job
2026-09-21,7,Starter,"Survey, mapping and digitalisation of identified property within Aligarh Nagar Nigam",Aligarh Municipal Corp (DoLB UP),GIS/digitisation,UP etender.up,2026_DOLBU_1182686_1,NA,₹1 L,official,https://etender.up.nic.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Good fit
2026-09-21,7,Mid,"Third-Party Audit Scheme module in UPLAMS portal (Labour Commissioner, Kanpur)",UP Electronics Corp Ltd (UPLC),Software dev,UP etender.up,2026_UPECL_1183096_1 (UPLC/Software/2026-27/33),NA,nil,official,https://etender.up.nic.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,"Limited tender, likely UPLC-empanelled vendors only; reason to seek UPLC empanelment"
2026-09-21,7,Starter,Upgradation and enhancement of existing PBGSBS accounting software,Paschim Banga Go-Sampad Bikash Sanstha (WB),Software enhancement,WB wbtenders,2026_ARD_1040750_1,NA,"₹20,000",official,https://wbtenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Tiny EMD; excellent starter job
2026-09-21,7,Large,"Vulnerability & Penetration Testing: network, web and mobile apps",Department of Fertilizers,Cyber,GeM,GEM/2026/B/8024575,n/s,,official,https://eprocure.gov.in/cppp/gemtender,Usually needs CERT-In empanelment
2026-09-21,7,Starter,Web/mobile based AR/VR application development,"DPIIT Admin, Min. of Commerce & Industry",App dev / AR-VR,GeM,GEM/2026/B/8025079,n/s,,official,https://eprocure.gov.in/cppp/gemtender,"Category bid, single unit; good for app studios"
2026-09-22,8,Starter,"2D/3D city mapping using LiDAR drone and DGPS, Sivakasi (one of ~12 identical MAWS tenders closing 22-Sep)",MAWS Dept TN / Sivakasi Municipality,GIS/drone,TN tntenders,2026_MAWS_695261_1,₹19 L,"₹19,000",official,https://tntenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Check tenderer-class registration requirement
2026-09-22,8,Starter,"AI-enabled high-risk pregnancy monitoring, escalation and referral tracking system, District Shahdol",District Planning Officer Shahdol (MP),AI / health-tech,MP mptenders,2026_DES_534503_1,₹16 L,"₹30,000",official,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Small AI build; excellent fit
2026-09-22,8,Starter,Digitisation of Sahitya Akademi library books,Sahitya Akademi (Min. of Culture),Digitisation,eprocure.gov.in,2026_SA_924600_1,n/s,,official,https://eprocure.gov.in/eprocure/app,Small digitisation with metadata/repository
2026-09-22,8,Partner,"Hiring of agency: bilingual website, GIGW 3.0, STQC and VAPT audits",Patna buyer,Website/compliance,lead via Tender247,not located,₹3.75 Cr,₹7.5 L,aggregator,https://www.tender247.com,Needs STQC/VAPT partner
2026-09-22,8,Mid,eOffice on Cloud migration,NALCO,Cloud,eprocure.gov.in,2026_NALCO_923466_1,n/s,,official,https://eprocure.gov.in/eprocure/app,Check if NIC/MeitY CSP empanelment required
2026-09-23,9,Mid,"CAMC and FMS of IT infrastructure, three years","West Bengal State University, Barasat",IT FMS,WB wbtenders,2026_WBSUB_1039422_1,NA,₹1 L,official,https://wbtenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Good FMS entry
2026-09-23,9,Mid,RFP: study of digital and automation transformation of Syama Prasad Mookerjee Port,Kolkata Port (SMP),IT consulting,eprocure.gov.in,2026_KoPT_915345_1,n/s,,official,https://eprocure.gov.in/eprocure/app,Consulting study; check experience clause
2026-09-24,10,Partner,Empanelment of software development firms for portals and e-Governance projects for TN Govt institutions,TN e-Governance Agency (Dept of IT),Empanelment,TN tntenders,2026_IT_701058_1 (TNeGA/OT/SWE/01/2026-27),NA,"₹10,000",official,https://tntenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,"Top pick: state-wide empanelment, token EMD; check turnover tiers in RFP"
2026-09-24,10,Mid,FMS and CAMC of IT infrastructure for two years (+1),Hindustan Shipyard Ltd,IT support/AMC,eprocure.gov.in,2026_HSL_100105_1,n/s,,official,https://eprocure.gov.in/eprocure/app,Classic FMS/AMC for IT support firms
2026-09-24,10,Starter,Fully managed PaaS-based Learning Management System,"Kurukshetra University, IT Cell",LMS,HR etenders.hry,2026_HRY_540696_1,₹30 L,"₹60,000",official,https://etenders.hry.nic.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Moodle-type PaaS; good fit for ed-tech capable firm
2026-09-24,10,Mid,Hiring of Agency for IT Projects (milestone basis),NTPC SAIL Power Company Ltd,Software dev,GeM,GEM/2026/B/7932355,n/s,,official,https://eprocure.gov.in/cppp/gemtender,PSU JV; mid-size scope
2026-09-24,10,Mid,"Managed Services for Cloud: VPC, migration, O&M, provisioning",PESO (Petroleum & Explosives Safety Org),Cloud,GeM,GEM/2026/B/8025673,n/s,,official,https://eprocure.gov.in/cppp/gemtender,Check MeitY-empanelment requirement
2026-09-24,10,Mid,"Scanning and digitisation of official files for e-Office, DM Hamirpur",UPLC,Digitisation,UP etender.up,2026_UPECL_1184113_1,NA,nil,official,https://etender.up.nic.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,"Limited tender, likely UPLC-empanelled only"
2026-09-24,10,Mid,Software development contract for data and imagery analytics software,"Defence buyer, Karnataka",Data/Analytics,GeM (via TenderDetail),TenderDetail #57331567,not shown,,aggregator,https://www.tenderdetail.com/Indian-Tenders/TenderNotice/57331567/e5e7e36409716eb3961d7824f283b601,Check GeM bid for startup exemption
2026-09-25,11,Mid,Agency to run Grievance Management System with live phone-in platform,"Urban Development and Municipal Affairs Dept, WB",CRM / helpdesk,WB wbtenders,2026_UDMA_1039911_1,NA,₹2.5 L,official,https://wbtenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Good CRM/helpdesk fit
2026-09-25,11,Mid,Bulk SMS and WhatsApp chatbot messaging service,Webel Technology Ltd,Messaging,WB wbtenders,2026_WTL_1039411_1,NA,₹5 L,official,https://wbtenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Needs TRAI telemarketer and WhatsApp BSP tie-up
2026-09-25,11,Mid,IndiaAI Mission portal redesign and development,IndiaAI (New Delhi),Portal,lead via Tender247,not located,n/s,,aggregator,https://www.tender247.com,High-profile; verify on GeM
2026-09-25,11,Partner,Pre-bid EOI: backend partner for digital infrastructure facilities for a university in Andhra Pradesh,TCIL,Digital infra,etenders.gov.in,2026_TCIL_290697_1,n/s,,official,https://etenders.gov.in/eprocure/app,PSU-partner model
2026-09-25,11,Starter,"RFP: document classification, digitisation, metadata and Document Management System",Maharashtra Tourism Development Corp,DMS plus scanning,MH mahatenders,2026_TCADM_1335309_1,NA,₹1 L,official,https://mahatenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Re-tender (R2); good fit
2026-09-26,12,Large,Cyber Security Audit: infrastructure audit,CISF (MHA),Cyber,GeM,GEM/2026/B/8024122,n/s,,official,https://eprocure.gov.in/cppp/gemtender,Needs CERT-In empanelled auditor
2026-09-26,12,Mid,Maintenance of in-house data centre and servers plus migration of applications and databases,PBGSBS (WB ARD Dept),Infra plus migration,WB wbtenders,2026_ARD_1041426_1,NA,"₹60,000",official,https://wbtenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Pairs with the accounting software job
2026-09-28,14,Mid,"AMC for IT hardware and peripherals, Gujarat Legislature Secretariat",Gujarat Informatics Ltd,IT AMC,GeM (GIL),GEM/2026/B/7911375,n/s,,official,https://gil.gujarat.gov.in/tenders,Bid on GeM
2026-09-28,14,Mid,Hiring of Agency for IT Projects (milestone basis),Dept of Financial Services (buyer n/s),Software dev,GeM,GEM/2026/B/7977310,n/s,,official,https://eprocure.gov.in/cppp/gemtender,Open bid doc for scope
2026-09-28,14,Mid,Scanning & digitisation service (12 lakh pages),Oriental Insurance Co. Ltd,Digitisation,GeM,GEM/2026/B/7947951,n/s,,official,https://eprocure.gov.in/cppp/gemtender,Low tech barrier; needs capacity
2026-09-29,15,Mid,"CAMC of desktops, laptops, printers and NAS with resident engineer, Commissionerate of Information Gandhinagar",Gujarat Informatics Ltd,IT AMC,GeM (GIL),GEM/2026/B/7941819,n/s,,official,https://gil.gujarat.gov.in/tenders,Bid on GeM
2026-09-29,15,Starter,Development and running of web application for admission process,"Delhi University, Faculty of Management Studies",Web app,eprocure.gov.in,2026_DU_925350_1 (FMS/e-Tender/03/2026),~₹6 L (agg),,official,https://eprocure.gov.in/eprocure/app,"Very small, well scoped; excellent first bid"
2026-09-29,15,Starter,GIS survey and MIS work for Nagar Palika Parishad Etmadpur,"NPP Etmadpur, Agra (DoLB UP)",GIS/MIS,UP etender.up,2026_DOLBU_1183473_1,₹26.48 L,"₹52,960",official,https://etender.up.nic.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,Good fit
2026-09-29,15,Starter,Mobile app development,AIIMS Gorakhpur,Mobile,lead via govttenders,not located,n/s,,aggregator,https://www.govttenders.co.in,Small; verify
2026-09-29,15,Starter,New dynamic website development,"Indian Institute of Carpet Technology, Bhadohi",Website,lead via Tender18,not located,n/s,,aggregator,https://www.tender18.com,Small
2026-09-29,15,Mid,Supply of antivirus software for department,"Govt dept, Thiruvananthapuram",Software supply,Kerala eTenders (via TenderDetail),TenderDetail #57106087,not shown,₹5 L,aggregator,https://www.tenderdetail.com/Indian-tender/software-tenders,Reseller play
