Date,Asset / company,Transaction type,Value,Buyer,Seller,Co-investors,Advisers (and side),Lenders / credit providers,Source URLs
2025-03,Novva Data Centers (Salt Lake City 175MW flagship),Construction / development financing,USD 2.0bn,n/a,n/a,CIM Group (sponsor),Unknown / Not verified,J.P. Morgan; Starwood Property Trust,https://www.cimgroup.com/press-releases/cim-group-and-novva-data-centers-announce-2-billion-in-new-financing-to-accelerate-growth-in-delivering-sustainable-efficient-data-centers-across-the-western-u-s
2025-07-21,Cologix,Asset-backed securitization,USD 525m,n/a,n/a,n/a,Unknown / Not verified,Unknown / Not verified,https://www.globenewswire.com/news-release/2025/07/21/3118842/0/en/Cologix-Closes-525-Million-USD-Asset-Backed-Securitization-to-Support-AI-Infrastructure-Interconnection-and-Growth.html
2024-10,Cologix,Capital raise (debt + equity),USD 1.5bn (USD 1.0bn debt; USD 500m equity),n/a,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,https://cologix.com/news/cologix-secures-1-5-billion-usd-in-capital-to-fund-new-data-center-development/
2021-12,Cologix,Recapitalization,USD 3.0bn,Stonepeak (sponsor),n/a,Madison International Realty,Unknown / Not verified,Unknown / Not verified,https://cologix.com/news/madison-international-realty-invests-in-recapitalization-of-cologix/
2024,Switch,Securitized debt financings (SASB CMBS + ABS),USD 3.5bn (USD 2.4bn CMBS; USD 1.1bn ABS),n/a,n/a,n/a,Unknown / Not verified,Citigroup Global Markets; Barclays; Goldman Sachs & Co. LLC; RBC Capital Markets; Wells Fargo Securities (co-lead managers / joint bookrunners),https://www.switch.com/switch-announces-3-5-billion-in-securitized-debt-financings/
2022-05,Switch Inc.,Take-private,USD 11.0bn,DigitalBridge; IFM Investors,Switch Inc. public shareholders,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,https://www.datacenterknowledge.com/switches-routers/done-digitalbridge-and-ifm-take-switch-private-for-11b
2021-11,CyrusOne,Take-private,USD 15.0bn,KKR; Global Infrastructure Partners,CyrusOne public shareholders,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,https://www.datacenterdynamics.com/en/analysis/biggest-data-center-acquisitions-10-billion-dollar-data-center-deals/
2025,EdgeCore Digital Infrastructure,Debt financing,USD 1.9bn,n/a,n/a,Partners Group (sponsor),Unknown / Not verified,"MUFG (coordinating lead arranger, joint bookrunner, administrative agent)",https://www.mufgamericas.com/who-we-are/news/mufg-serves-coordinating-lead-arranger-joint-bookrunner-administrative-agent-edgecore-digital-infrastructure-19-billion-debt-financing
2025,DataBank (Dallas campus),Construction financing,~USD 2.0bn,n/a,n/a,n/a,Unknown / Not verified,"MUFG (coordinating lead arranger, administrative agent, sole bookrunner)",https://www.costar.com/article/2064534335/databank-lands-its-biggest-construction-loan-yet-for-dallas-data-centers
2025,QTS (four data centers; BX Trust 2025-VLT6),SASB CMBS financing,USD 2.05bn,n/a,n/a,Blackstone (sponsor / owner of QTS),Unknown / Not verified,Goldman Sachs (lead); Bank of America; Bank of Montreal; Barclays; Citigroup; Morgan Stanley; RBC; Scotiabank; Wells Fargo,https://www.costar.com/article/376853552/goldman-sachs-leading-2-billion-loan-on-four-of-blackstones-qts-data-centers | https://www.datacenterdynamics.com/en/news/qts-data-centers-seeks-2-billion-cmbs-refinancing-for-three-us-data-center-campuses/
2025-08,Vantage Data Centers (Frontier campus / Texas),Construction loan,USD 22-23bn+,n/a,n/a,n/a,Unknown / Not verified,J.P. Morgan; MUFG (lead arrangers),https://www.bloomberg.com/news/articles/2025-08-20/jpmorgan-mufg-to-lead-22-billion-loan-for-vantage-data-centers | https://www.theinformation.com/briefings/vantage-taps-jpmorgan-mufg-finance-25-billion-data-center-project
2025,Fleet Data Centers (Tract Capital),Secured notes offering,USD 4.6bn,n/a,n/a,n/a,Legal: Milbank (Tract Capital),Unknown / Not verified,https://www.milbank.com/en/news/milbank-advises-tract-capital-on-landmark-dollar46b-fleet-data-centers-notes-offering.html
2025,"Rowan Digital Infrastructure - Cinco (300MW, Medina County TX)",Construction / project financing,USD 550m,n/a,n/a,n/a,Legal: Milbank (Rowan),Unknown / Not verified,https://www.milbank.com/en/news/milbank-advises-rowan-digital-infrastructure-on-two-project-financings-for-texas-data-center-developments.html
2025,Blue Owl / Chirisa Technology Parks / PowerHouse Data Centers JV,Joint venture,up to USD 5.0bn,Blue Owl Capital; Chirisa Technology Parks; PowerHouse Data Centers,n/a,n/a,Newmark (strategic adviser to the JV parties),Unknown / Not verified,https://www.nmrk.com/services/investor-solutions/capital-markets/data-center-and-digital-infrastructure-capital-markets
2025,"50MW build-to-suit data center, Northern Virginia (Blue Owl / Chirisa / PowerHouse)",Development loan,USD 600m,n/a,n/a,n/a,Newmark (debt placement),Unknown / Not verified,https://www.nmrk.com/services/investor-solutions/capital-markets/data-center-and-digital-infrastructure-capital-markets
2025,"206MW build-to-suit data center development, Abilene TX",Development loan,USD 2.3bn,n/a,n/a,n/a,Newmark (debt placement),Unknown / Not verified,https://www.nmrk.com/services/investor-solutions/capital-markets/data-center-and-digital-infrastructure-capital-markets
2025-02-12,Applied Digital (Ellendale HPC campus ND),Secured financing,USD 375m,n/a,n/a,n/a,Unknown / Not verified,SMBC (sole lender); refinanced a Macquarie Capital senior secured note,https://www.globenewswire.com/news-release/2025/02/12/3024998/0/en/Applied-Digital-Closes-375-Million-Financing-with-SMBC-to-Support-Ellendale-HPC-Campus.html | https://ir.applieddigital.com/news-events/press-releases/detail/119/applied-digital-closes-375-million-financing-with-smbc-to
2025,Applied Digital (Polaris Forge 1 / Ellendale),Equity financing facility,up to USD 5.0bn (USD 900m to Ellendale; first draw USD 112.5m),Macquarie Asset Management managed funds,n/a,n/a,Unknown / Not verified,Macquarie Asset Management,https://www.macquarie.com/au/en/about/company/macquarie-asset-management/insights/macquarie-asset-management-invests-in-applied-digital-and-aligned-data-centers.html | https://www.datacenterdynamics.com/en/news/applied-digital-secures-first-tranche-of-5bn-funding-from-macquarie/
2025-10-24,Crusoe,Series E growth equity,USD 1.375bn at >USD 10bn valuation,Valor Equity Partners; Mubadala Capital (co-leads),n/a,137 Ventures; 1789 Capital; Activate Capital; Altimeter Capital; Atreides Management; BAM Elevate; DPR Construction; Ora Global; Fidelity Management & Research; Founders Fund; Franklin Templeton; Galvanize; Long Journey Ventures; Lowercarbon Capital; M37 Management; MCJ; NVIDIA; Radical Ventures; Ribbit Capital; Salesforce Ventures; Spark Capital; StepStone Group; Supermicro; T. Rowe Price; Tiger Global Management; Upper90; Winklevoss Capital; Zigg Capital; Blue Owl (later close),Unknown / Not verified,Unknown / Not verified,https://www.globenewswire.com/news-release/2025/10/24/3172932/0/en/Crusoe-the-AI-Factory-Company-Raising-1-375-Billion-at-a-Valuation-Above-10-Billion-to-Power-the-Future-of-AI-Infrastructure.html | https://www.crusoe.ai/resources/newsroom/crusoe-announces-series-e-funding
2025-01,Blue Owl Capital / IPI Partners,Manager acquisition (GP stake / business purchase),~USD 1.0bn (80% equity / 20% cash),Blue Owl Capital,IPI Partners (ICONIQ / Iron Point),ICONIQ (ongoing partnership),Unknown / Not verified,n/a,https://www.blueowl.com/news/blue-owl-capital-completes-acquisition-ipi-partners-business | https://www.prnewswire.com/news-releases/blue-owl-capital-to-acquire-ipi-partners-and-partner-with-iconiq-for-future-growth-302268473.html
2025-12-01,Blue Owl Digital Infrastructure Trust,Fund first close (non-traded REIT),USD 1.7bn,n/a,n/a,n/a,Unknown / Not verified,n/a,https://www.bloomberg.com/news/articles/2025-12-04/blue-owl-raises-1-7-billion-for-fund-dedicated-to-data-centers
2025-04,PGIM Real Estate Global Data Center Fund,Fund final close,USD 2.0bn,n/a,n/a,n/a,Unknown / Not verified,n/a,https://www.pgim.com/us/en/institutional/about/newsroom/press-releases/pgim-real-estate-raises-2b-final-close-global-data-center-fund
2025-04,Digital Realty US Hyperscale Data Center Fund,Fund raise (LP equity),~USD 1.7bn committed as of 22 Apr 2025; USD 2.5bn target,n/a,n/a,Unknown / Not verified,Unknown / Not verified,n/a,https://www.sec.gov/Archives/edgar/data/1297996/000155837025006125/dlr-20250331x10q.htm
2025,Harrison Street HS Digital Fund,Fund raise (first dedicated data center vehicle),USD 600m,n/a,n/a,n/a,Unknown / Not verified,n/a,https://www.commercialsearch.com/news/harrison-street-raises-600m-for-digital-asset-investment/
2025-06,Post Road Digital Infrastructure Fund II,Fund close (data center platform strategy),USD 500m,n/a,n/a,n/a,Unknown / Not verified,n/a,https://www.businesswire.com/news/home/20250804204683/en/Post-Road-Group-Closes-More-Than-%241-Billion-in-New-Capital-Commitments-in-its-Corporate-Investment-Strategy
2021-03,DC BLOX,Long-term financing,USD 187m,n/a,n/a,n/a,Unknown / Not verified,Post Road Group (lead),https://www.businesswire.com/news/home/20210329005076/en/DC-BLOX-Leading-Data-Center-Operator-Secures-187-Million-In-Financing
2025-03-27,Connectivity Wireless (communications infrastructure; adjacent),Capital raise,USD 200m,n/a,n/a,M/C Partners (sponsor),Unknown / Not verified,First Citizens Bank; Post Road Group,https://www.businesswire.com/news/home/20250327475137/en/Connectivity-Wireless-Secures-$200-million-of-capital-from-First-Citizens-Bank-and-Post-Road-Group-to-Accelerate-Growth
2025-01-28,"Power foundries JV (co-located gas power for US data centers, up to 4GW)",Platform formation / JV,Unknown / Not verified,Chevron U.S.A.; Engine No. 1,n/a,GE Vernova (turbine supply / partner),Unknown / Not verified,Unknown / Not verified,https://www.chevron.com/newsroom/2025/q1/power-solutions-for-us-data-centers | https://engine1.com/wp-content/uploads/2025/01/2025-0127_FINAL-PRESS-RELEASE_EN1_CVX_GE_.pdf
2025-07,Advanced Power,Platform acquisition,USD 1.0bn initial equity commitment (up to USD 5bn over 5 years),ArcLight Capital Partners,n/a,n/a,Unknown / Not verified,Unknown / Not verified,https://www.prnewswire.com/news-releases/arclight-acquires-advanced-power-a-leading-power-infrastructure-developer-302512542.html
2026,ArcLight Capital Partners,Manager acquisition,~USD 1.05bn,DigitalBridge,ArcLight Capital Partners,n/a,Unknown / Not verified,n/a,https://www.utilitydive.com/news/digitalbridge-arclight-data-center-deal/821199/
2023,Compass Datacenters,Platform acquisition,~USD 5.5bn,Brookfield Infrastructure; Ontario Teachers' Pension Plan (existing investor),RedBird Capital Partners; Azrieli Group,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,https://dgtlinfra.com/top-data-center-companies/
2025-02,atNorth,Controlling stake acquisition (60%),~USD 1.6bn,CPP Investments,Partners Group,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,https://www.ai-cio.com/news/cpp-investments-ramps-up-data-center-investments/
2025-06,Japan DC Partners I (data center development partnership),Fund commitment,JPY 192.5bn (~CAD 1.7bn),CPP Investments (LP),n/a,n/a,Unknown / Not verified,n/a,https://www.ai-cio.com/news/cpp-investments-ramps-up-data-center-investments/
2025-07,"Hyperscale data center expansion, Cambridge Ontario",Construction loan participation (50% of costs),CAD 225m,n/a,n/a,n/a,Unknown / Not verified,CPP Investments,https://www.ai-cio.com/news/cpp-investments-ramps-up-data-center-investments/
2024-09,AirTrunk (APAC asset; US sponsor),Platform acquisition,~AUD 24bn / ~USD 16bn,Blackstone (with CPP Investments),Macquarie Asset Management; PSP Investments,CPP Investments,Unknown / Not verified,Unknown / Not verified,https://www.datacenterdynamics.com/en/news/aligned-data-centers-sold-to-blackrock-and-mgx-in-record-breaking-40bn-deal/
2025,Boyd Thermal (data center liquid cooling; supply chain),Corporate acquisition,USD 9.5bn,Eaton,Goldman Sachs Asset Management,n/a,Unknown / Not verified,n/a,https://www.sdxcentral.com/news/data-center-ma-deals-surpassed-73-billion-in-2024-setting-new-records/
2025,Ntirety,Sale of company,Unknown / Not verified,11:11 Systems,Unknown / Not verified,n/a,"Houlihan Lokey (sell-side, Ntirety)",n/a,https://www2.hl.com/pdf/2026/digital-infrastructure-industry-update-q4-2025.pdf
2020,Atlantic Metro,Acquisition,Unknown / Not verified,365 Data Centers,Unknown / Not verified,n/a,"Q Advisors (exclusive financial adviser, sell-side)",n/a,https://www.prnewswire.com/news-releases/365-data-centers-acquires-atlantic-metro-301174639.html
2015,Net Access,Acquisition,Unknown / Not verified,Cologix,Unknown / Not verified,n/a,"DH Capital (sell-side, Net Access)",n/a,https://www.globenewswire.com/news-release/2015/12/02/1075905/0/en/DH-Capital-Advises-Net-Access-on-Sale-to-Cologix.html
2025,Patria Investments hyperscale data center platform,Platform sale,Unknown / Not verified,Unknown / Not verified,Patria Investments,n/a,"DH Capital / Citizens (sell-side, Patria)",n/a,https://pbn.com/citizens-division-dh-capital-advises-patria-investments-on-sale-of-hyperscale-data-center-platform/
2021-10,DataSite (Orlando FL; Atlanta GA colocation),Acquisition,Unknown / Not verified,American Tower Corporation,Unknown / Not verified,n/a,Unknown / Not verified,n/a,https://www.globenewswire.com/news-release/2021/10/20/2317651/0/en/DataSite-a-premier-operator-of-multi-tenant-colocation-facilities-in-Orlando-Florida-and-Atlanta-Georgia-has-been-acquired-by-American-Tower-Corporation.html
2021-06,Prime Data Centers,Strategic partnership / capital commitment,Unknown / Not verified,Macquarie Capital,n/a,n/a,Unknown / Not verified,Macquarie Capital,https://www.businesswire.com/news/home/20210624005211/en/Macquarie-Capital-Announces-Strategic-Partnership-With-Prime-Data-Centers
2025,Imagination Technologies data center (Hemel Hempstead; UK asset),Sale-and-service-back,Unknown / Not verified,Stellanor (DWS Group),Imagination Technologies,n/a,"TAP Securities Ltd (sell-side, Imagination)",n/a,https://www.tapadvisors.com/
2025,"Meta / BlackRock strategic venture, El Paso data center campus",Joint venture,Unknown / Not verified,BlackRock; Meta,n/a,Unknown / Not verified,Legal: Milbank,Unknown / Not verified,https://www.milbank.com/en/news/milbank-advises-on-meta-and-blackrocks-new-strategic-venture-to-develop-el-paso-data-center-campus.html
2025,"STACK Infrastructure megascale AI campus, New Mexico (Oracle lease; Stargate)",Project financing,reported USD 165bn programme value (unverified magnitude),Blue Owl Capital (lead); STACK Infrastructure,n/a,Unknown / Not verified,Legal: Milbank,Blue Owl Capital,https://www.milbank.com/en/news/milbank-cements-market-leadership-with-over-dollar125b-in-ai-infrastructure-deals-and-launch-of-digital-infrastructure-group.html
2020-01,DRFortress,Majority acquisition,Unknown / Not verified,GI Partners,Unknown / Not verified,n/a,Unknown / Not verified,n/a,https://www.gipartners.com/data-infrastructure
2022-01,DataGryd (60 Hudson St NY),Asset acquisition,Unknown / Not verified,Cordiant Digital Infrastructure,DataGryd,n/a,Unknown / Not verified,n/a,https://www.cordiantdigitaltrust.com/investments/
2025,TPG / Peppertree Capital,Manager acquisition,Unknown / Not verified,TPG,Peppertree Capital Management,n/a,Unknown / Not verified,n/a,https://www.peppertreecapital.com/
2024-03,"Susquehanna nuclear-powered data center campus (960MW), PA",Power purchase agreement,Unknown / Not verified,Amazon Web Services,Talen Energy,n/a,Unknown / Not verified,n/a,https://www.datacenterfrontier.com/energy/article/55239739/data-center-nuclear-power-update-microsoft-constellation-aws-talen-meta
2025-06,Susquehanna PPA expansion (1.92GW),Power purchase agreement,~USD 18bn (reported),Amazon Web Services,Talen Energy,n/a,Unknown / Not verified,n/a,https://enkiai.com/nuclear/aws-data-center-talen-energy/
2024-09,"Three Mile Island Unit 1 restart (Crane Clean Energy Center, 835MW)",20-year power purchase agreement,Unknown / Not verified,Microsoft,Constellation Energy,n/a,Unknown / Not verified,n/a,https://www.datacenterfrontier.com/energy/article/55239739/data-center-nuclear-power-update-microsoft-constellation-aws-talen-meta
2025-06,Clinton Clean Energy Center (1.1GW),20-year power purchase agreement,Unknown / Not verified,Meta,Constellation Energy,n/a,Unknown / Not verified,n/a,https://www.datacenterfrontier.com/energy/article/55239739/data-center-nuclear-power-update-microsoft-constellation-aws-talen-meta
2026-01,"PJM nuclear fleet output (2,609MW)",20-year power purchase agreements,Unknown / Not verified,Meta,Vistra Corp.,n/a,Unknown / Not verified,n/a,https://www.sec.gov/Archives/edgar/data/1692819/000169281926000006/vistra-20251231.htm
