Institution name,Parent / affiliate relationship,Category,Capital type,Relevant team or strategy name,Primary U.S. office,Other relevant U.S. offices,Approximate AUM or relevant fund size,Typical transaction size,Specific data center focus,Example transactions,Number of relevant transactions since Jan 2024 (verified in this dataset),Most recent verified sector activity,Activity status,Dedicated digital infra team?,Dedicated AI infrastructure strategy?,Recent fund close or new vehicle,Recent senior hires or new U.S. office,Titles that own these deals at this firm,Careers page URL,Evidence strength,Source URLs,Notes
StratCap,Independent,1,Equity,Digital infrastructure investment management,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,USD 25m - USD 150m,Data centers; digital infrastructure real assets,"2025 55 Hereford Street, Brampton ON Tier III data center (co-buyer with Grain Management)",1,2025,Active (24mo),Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://graingp.com/news/grain-management-acquires-majority-stake-in-toronto-data-center/ | https://www.datacenterdynamics.com/en/news/grain-stratcap-acquire-former-loblaw-data-center-in-canada/,Small manager surfaced only via a co-investment; typical of the names this method is designed to catch.
Northleaf Capital Partners,Independent (Toronto HQ with US activity),2,Equity,Northleaf Infrastructure,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,USD 50m - USD 500m,US colocation and enterprise data center portfolios,"Vault Digital Infrastructure (7 US colocation/enterprise assets, 75MW) - JV co-owner; divested to Igneo Infrastructure Partners Feb 2026",1,2026-02,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.datacenterdynamics.com/en/news/cvc-dif-and-northleaf-divest-jv-us-data-center-portfolio-to-igneo-infrastructure-partners/,"Non-US HQ, US assets. Seller side of a 2026 US data center portfolio trade. Recategorized from Category 1 to Category 2: a diversified infrastructure manager with a digital team rather than a pure-play digital infrastructure specialist."
Igneo Infrastructure Partners,Part of First Sentier Investors / MUFG group,2,Equity,Igneo Infrastructure Partners,New York NY,Unknown / Not verified,"~USD 14.7bn AUM (2025, secondary)",USD 100m - USD 1bn,Operating US colocation and enterprise data center portfolios,"2026-02 Vault Digital Infrastructure (7 US assets, 75MW) - buyer from CVC DIF and Northleaf",1,2026-02,Very Active (12mo),Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.datacenterdynamics.com/en/news/cvc-dif-and-northleaf-divest-jv-us-data-center-portfolio-to-igneo-infrastructure-partners/,"Buyer of stabilised US data center assets - the yield end of the market, a different counterparty profile from development sponsors. Recategorized from Category 1 to Category 2: a diversified infrastructure manager with a digital team rather than a pure-play digital infrastructure specialist."
CVC DIF,CVC Capital Partners infrastructure arm (formerly DIF Capital Partners),2,Equity,CVC DIF,New York NY,Unknown / Not verified,"~USD 13.2bn AUM (2025, secondary)",USD 100m - USD 1bn,US colocation and enterprise data centers,2026-02 Vault Digital Infrastructure - seller (JV with Northleaf),1,2026-02,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.datacenterdynamics.com/en/news/cvc-dif-and-northleaf-divest-jv-us-data-center-portfolio-to-igneo-infrastructure-partners/,Rebranded from DIF Capital Partners after the CVC acquisition - deduplication point. Recategorized from Category 1 to Category 2: a diversified infrastructure manager with a digital team rather than a pure-play digital infrastructure specialist.
Chirisa Investments / Chirisa Technology Parks,Family-office-backed digital infrastructure investor and developer,1,Equity,Chirisa Technology Parks,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,USD 100m - USD 5bn (JV scale),Build-to-suit AI and HPC data center campuses; JV development with institutional capital,"2025 Blue Owl / Chirisa / PowerHouse Data Centers JV up to USD 5bn (JV partner); 2025 USD 600m loan for 50MW build-to-suit, Northern Virginia",2,2025,Very Active (12mo),Yes,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.nmrk.com/services/investor-solutions/capital-markets/data-center-and-digital-infrastructure-capital-markets,Hidden gem. Family-office capital operating at multi-billion JV scale alongside Blue Owl.
PowerHouse Data Centers,Division of American Real Estate Partners (AREP),1,Equity,PowerHouse Data Centers,Northern Virginia,Unknown / Not verified,Unknown / Not verified,USD 100m - USD 5bn (JV scale),Hyperscale build-to-suit development in Northern Virginia and beyond,"2025 Blue Owl / Chirisa / PowerHouse JV up to USD 5bn (JV partner); 2025 USD 600m development loan, 50MW Northern Virginia BTS",2,2025,Very Active (12mo),Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.nmrk.com/services/investor-solutions/capital-markets/data-center-and-digital-infrastructure-capital-markets,Developer arm of a real estate sponsor - counterparty for equity and debt placement rather than a fund manager.
Blackstone,"Blackstone Inc.; relevant arms include Blackstone Infrastructure Partners, Blackstone Real Estate (QTS), Blackstone Credit and Insurance, Blackstone Tactical Opportunities",2,Multiple (Equity + Credit + Real Estate),Blackstone Infrastructure; Blackstone Real Estate; Blackstone Tactical Opportunities; Blackstone Credit,New York NY,Unknown / Not verified,USD 25bn+ deployed to the sector in 2025 (secondary); ~USD 200bn dry powder (secondary),USD 500m - USD 16bn,Owns QTS (hyperscale platform); GPU and AI cloud credit; CMBS-financed portfolios; global platform M&A,"2024-05 CoreWeave USD 7.5bn debt facility (lead); 2024-09 AirTrunk ~USD 16bn (buyer, with CPP Investments); 2025 BX Trust 2025-VLT6 USD 2.05bn QTS CMBS (sponsor)",3,2025,Very Active (12mo),Yes,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.blackstone.com/news/press/coreweave-secures-7-5-billion-debt-financing-facility-led-by-blackstone-and-magnetar/ | https://www.costar.com/article/376853552/goldman-sachs-leading-2-billion-loan-on-four-of-blackstones-qts-data-centers | https://www.datacenterdynamics.com/en/news/aligned-data-centers-sold-to-blackrock-and-mgx-in-record-breaking-40bn-deal/,"Multiple distinct deal teams - infrastructure, real estate and credit are separate counterparties inside one house."
BlackRock,BlackRock Inc.; Global Infrastructure Partners (GIP) acquired 2024; HPS Investment Partners acquired 2025; founding member of AI Infrastructure Partnership,2,Multiple (Equity + Credit),Global Infrastructure Partners; AI Infrastructure Partnership (AIP); BlackRock private credit,New York NY,Unknown / Not verified,Unknown / Not verified,USD 1bn - USD 40bn,Hyperscale platform control equity; AI infrastructure consortium capital; large-scale private credit,"2025-10 Aligned Data Centers USD 40bn (co-buyer via GIP and AIP); 2024-05 CoreWeave USD 7.5bn debt facility (BlackRock-managed funds, participant); 2025 Meta El Paso data center campus strategic venture (JV partner)",3,2025-10,Very Active (12mo),Yes,Yes,"AI Infrastructure Partnership established Sep 2024 with MGX, Microsoft and NVIDIA",Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.global-infra.com/news/ai-infrastructure-partnership-aip-mgx-and-blackrocks-global-infrastructure-partners-gip-to-acquire-all-equity-in-aligned-data-centers/ | https://www.blackstone.com/news/press/coreweave-secures-7-5-billion-debt-financing-facility-led-by-blackstone-and-magnetar/ | https://www.milbank.com/en/news/milbank-advises-on-meta-and-blackrocks-new-strategic-venture-to-develop-el-paso-data-center-campus.html,Deduplication: GIP and HPS retain their own brands and deal teams inside BlackRock. Listed here as one institution with team-level detail.
Global Infrastructure Partners (GIP),Acquired by BlackRock (2024); operates under its own brand,2,Equity,Global Infrastructure Partners,New York NY,Unknown / Not verified,Unknown / Not verified,USD 1bn - USD 40bn,Hyperscale platform control equity,2025-10 Aligned Data Centers USD 40bn (co-buyer); 2021-11 CyrusOne USD 15bn take-private (co-buyer with KKR),1,2025-10,Very Active (12mo),Yes,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.global-infra.com/news/ai-infrastructure-partnership-aip-mgx-and-blackrocks-global-infrastructure-partners-gip-to-acquire-all-equity-in-aligned-data-centers/ | https://www.datacenterdynamics.com/en/analysis/biggest-data-center-acquisitions-10-billion-dollar-data-center-deals/,Kept as a separate row because it remains the named counterparty on transactions post-acquisition.
KKR,KKR & Co. Inc.,2,Multiple (Equity + Credit),KKR Infrastructure; KKR Real Estate; KKR Credit,New York NY,San Francisco CA,USD 34bn equity committed to digital infrastructure (secondary),USD 400m - USD 15bn,Hyperscale platform control equity; European and US data center developers,2021-11 CyrusOne USD 15bn take-private (co-buyer with GIP); 2026-01 Global Technical Realty USD 1.5bn additional equity commitment (lead investor),1,2026-01,Very Active (12mo),Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://oakhill.com/2026/01/07/kkr-and-oak-hill-capital-commit-nearly-2-billion-to-leading-european-data-center-platform-global-technical-realty/ | https://www.datacenterdynamics.com/en/analysis/biggest-data-center-acquisitions-10-billion-dollar-data-center-deals/,GTR is a European platform but KKR runs it from US and European teams.
Brookfield,Brookfield Asset Management (BAM) and Brookfield Infrastructure Partners (BIP),2,Multiple (Equity + Credit),Brookfield Infrastructure; Brookfield Artificial Intelligence Infrastructure Fund (BAIIF),New York NY,Unknown / Not verified,BAIIF USD 10bn equity target; USD 100bn AI Infrastructure Program; USD 5bn committed at launch,USD 500m - USD 5.5bn,AI factories; behind-the-meter power for data centers; compute infrastructure; hyperscale colocation platform ownership,2025-11 Brookfield AI Infrastructure Program USD 100bn with NVIDIA and Kuwait Investment Authority (sponsor); 2023 Compass Datacenters ~USD 5.5bn (co-buyer with Ontario Teachers'); 2025 USD 5bn framework agreement with Bloom Energy for up to 1GW behind-the-meter power,2,2025-11,Very Active (12mo),Yes,Yes,"Brookfield Artificial Intelligence Infrastructure Fund (BAIIF), USD 10bn target, USD 5bn committed, Nov 2025",Launched Radiant (NVIDIA Cloud Partner),Unknown / Not verified,Unknown / Not verified,A,https://bam.brookfield.com/press-releases/brookfield-launches-100-billion-ai-infrastructure-program | https://www.sec.gov/Archives/edgar/data/1937926/000117184325007824/exh_991.htm | https://dgtlinfra.com/top-data-center-companies/,One of the clearest examples of the power-plus-compute convergence this brief asks to capture.
Macquarie Asset Management,Macquarie Group,2,Multiple (Equity + Credit),Macquarie Infrastructure Partners; Macquarie Asset Management Green Investments,New York NY,Unknown / Not verified,USD 17bn invested in data centers in 2025 (secondary),USD 100m - USD 40bn,Hyperscale platform ownership and exit; equity financing facilities to AI data center developers,2025-10 Aligned Data Centers USD 40bn (seller; owned via MIP IV from 2018 and MIP V from 2020); 2025 Applied Digital equity financing facility up to USD 5bn (provider; USD 900m to Ellendale); 2024-09 AirTrunk ~USD 16bn (seller),3,2025-10,Very Active (12mo),Yes,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.macquarie.com/au/en/about/company/macquarie-asset-management/insights/macquarie-asset-management-invests-in-applied-digital-and-aligned-data-centers.html | https://www.global-infra.com/news/ai-infrastructure-partnership-aip-mgx-and-blackrocks-global-infrastructure-partners-gip-to-acquire-all-equity-in-aligned-data-centers/ | https://www.datacenterdynamics.com/en/news/applied-digital-secures-first-tranche-of-5bn-funding-from-macquarie/,Macquarie Capital (the bank) is a separate counterparty - see Category 5/6.
Stonepeak,Independent,2,Multiple (Equity + Credit),Stonepeak digital infrastructure; Montera Infrastructure,New York NY,Unknown / Not verified,~USD 10bn invested in the sector over a decade (secondary); targeting USD 10-15bn raise for 2026 (secondary),USD 300m - USD 3bn,Hyperscale development platforms; colocation recapitalizations; preferred equity,"2025-04 Montera Infrastructure launch, USD 1.5bn equity (sponsor); 2021-12 Cologix USD 3bn recapitalization (sponsor); USD 1.3bn preferred equity in PDG (provider)",2,2025-04,Very Active (12mo),Yes,Yes,"Montera Infrastructure platform, USD 1.5bn, April 2025",Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.datacenterfrontier.com/hyperscale/article/55286971/stonepeak-targets-ai-and-cloud-data-centers-with-montera-infrastructure-and-strategic-buildout | https://cologix.com/news/madison-international-realty-invests-in-recapitalization-of-cologix/,Platform-creation model (Montera) rather than only buying existing operators.
EQT,EQT AB; EQT Infrastructure; EQT Exeter,2,Equity,EQT Infrastructure,New York NY,Unknown / Not verified,EUR 16bn (~USD 18.8bn) gross fund investments across strategies in 2025 (secondary),USD 200m - USD 3bn,Hyperscale developer ownership (EdgeConneX); AI investing strategy with portfolio platform,EdgeConneX acquired 2019 and used as an AI infrastructure investing platform; fresh AI-driven capital injection into EdgeConneX,1,2025,Active (24mo),Yes,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://finance.yahoo.com/sectors/technology/articles/eqt-data-center-builder-edgeconnex-224902140.html | https://thetechcapital.com/eqt-shows-it-likes-data-centres-with-fresh-ai-driven-capital-injection-into-edgeconnex/,Swedish HQ with a large US infrastructure team; EdgeConneX is US-headquartered.
Silver Lake,Independent,2,Equity,Silver Lake; Silver Lake powered land platform,Menlo Park CA,New York NY,USD 400m dedicated powered land platform,USD 400m - USD 9.2bn,Hyperscale platform equity; powered land site assembly with behind-the-meter generation,"2024-06 Vantage Data Centers USD 9.2bn (co-lead investor); 2025-08 powered land platform launch with Commonwealth Asset Management, USD 400m (sponsor); 3GW power secured, sites in Texas and Georgia",2,2025-08,Very Active (12mo),Yes,Yes,"Powered land digital infrastructure platform, USD 400m, August 2025",New platform launched with two named principals from Commonwealth Asset Management (Aug 2025),Unknown / Not verified,Unknown / Not verified,A,https://www.silverlake.com/vantage-data-centers-completes-9-2-billion-equity-investment-led-by-digitalbridge-and-silver-lake/ | https://www.silverlake.com/silver-lake-launches-400-million-digital-infrastructure-platform-with-adam-fisher-and-peter-rumbold/ | https://www.lw.com/en/news/2025/08/latham-watkins-advises-silver-lake-in-completed-equity-investment-in-vantage-data-centers,A technology PE firm that moved into hard digital infrastructure - relevant for hiring across both skill sets.
Apollo Global Management,Apollo; affiliated origination platforms include Atlas SP,2,Multiple (Credit + Equity),Apollo Infrastructure; Apollo Capital Solutions; asset-backed finance,New York NY,Unknown / Not verified,USD 40bn+ deployed in 2025 (secondary),USD 500m - USD 35bn,Large private credit for AI data centers; lending against AI chips and compute; investment-grade private placements,Reported front-runner / participant in the Meta Hyperion financing complex (secondary); Apollo and Blackstone reported lending ~USD 35bn against AI chips and computing power,2,2025,Very Active (12mo),Yes,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://finance.yahoo.com/sectors/technology/articles/apollo-blackstone-lend-35b-against-ai-chips-220610560.html | https://www.commercialsearch.com/news/whos-funding-the-data-center-boom/,Evidence is credible secondary rather than a primary tombstone - flagged B deliberately.
Carlyle,The Carlyle Group,2,Multiple (Equity + Credit),Carlyle infrastructure and credit,Washington DC,New York NY,Unknown / Not verified,USD 100m - USD 1bn,Participation in large AI cloud credit facilities,2024-05 CoreWeave USD 7.5bn debt facility (participant),1,2024-05,Active (24mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.prnewswire.com/news-releases/coreweave-secures-7-5-billion-debt-financing-facility-led-by-blackstone-and-magnetar-302148876.html,Named participant on a landmark GPU-backed facility; broader dedicated data center strategy not verified in this pass.
TPG,TPG Inc.; TPG Rise Climate; TPG Peppertree; TPG Angelo Gordon,2,Equity,TPG Rise Climate; TPG Peppertree,San Francisco CA,Fort Worth TX,Intersect Power round >USD 800m led with Google,USD 100m - USD 1bn,Co-located clean power and data center load; communications infrastructure,"2024-12 Intersect Power strategic partnership with Google, >USD 800m round (co-lead); targeted USD 20bn renewable infrastructure programme; 2025 acquisition of Peppertree Capital",2,2025,Very Active (12mo),Yes,Unknown / Not verified,Unknown / Not verified,Acquired Peppertree Capital (2025),Unknown / Not verified,Unknown / Not verified,A,https://www.tpg.com/news-and-insights/intersect-power-forms-strategic-partnership-with-google-and-tpg-rise-climate-to-co-locate-data-center-load-and-clean-power-generation | https://www.peppertreecapital.com/,Sits across Categories 2 and 8 - the Intersect Power structure is the canonical power-plus-compute deal.
Ares Management,Ares Management Corporation,2,Multiple (Equity + Credit),Ares Infrastructure; Ares Credit,Los Angeles CA,New York NY,Unknown / Not verified,USD 100m - USD 2bn,Data center development partnerships; infrastructure debt,"Manages Japan DC Partners I data center development partnership (CPP Investments committed JPY 192.5bn / ~CAD 1.7bn, Jun 2025)",1,2025-06,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.ai-cio.com/news/cpp-investments-ramps-up-data-center-investments/,US manager running a non-US data center vehicle; US-specific data center transactions not isolated in this pass.
Partners Group,Partners Group Holding AG; US infrastructure team,2,Equity,Partners Group infrastructure,Denver CO (Broomfield),New York NY,Unknown / Not verified,USD 200m - USD 2bn,Hyperscale data center platform ownership (EdgeCore Digital Infrastructure); European data center platforms,"EdgeCore Digital Infrastructure - sponsor behind the USD 1.9bn debt financing arranged by MUFG; atNorth stake sold to CPP Investments (Feb 2025, seller identity per secondary)",1,2025,Active (24mo),Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.mufgamericas.com/who-we-are/news/mufg-serves-coordinating-lead-arranger-joint-bookrunner-administrative-agent-edgecore-digital-infrastructure-19-billion-debt-financing | https://www.ai-cio.com/news/cpp-investments-ramps-up-data-center-investments/,EdgeCore is a substantial US hyperscale developer; the Partners Group sponsorship is the key relationship.
